album,track,popularity,album_popularity,album_tracks,avg_album_popularity,lyrics
Please Please Me,I Saw Her Standing There,70,819,14,58.5,"One, two, three, four!. Well, she was just seventeen and you know what I mean. And the way she looked was way beyond compare. So how could I dance with another? . When I saw her standing there?. . Well, she looked at me, and I, I could see. That before too long, I'd fall in love with her. She wouldn't dance with another . When I saw her standing there. Well, my heart went ""boom"" when I crossed that room. And I held her hand in mine. . Well, we danced through the night, and we held each other tight. And before too long, I fell in love with her. Now, I'll never dance with another . Since I saw her standing there. . Well, my heart went ""boom"" when I crossed that room. And I held her hand in mine. . Oh, we danced through the night, and we held each other tight. And before too long, I fell in love with her. Now I'll never dance with another . Since I saw her standing there. . Oh, since I saw her standing there. Yeah, well, since I saw her standing there21"
Please Please Me,Misery,53,819,14,58.5,"The world is treating me bad, misery. . I'm the kind of guy. Who never used to cry. The world is treating me bad, misery. . I've lost her now for sure. I won't see her no more. It's gonna be a drag, misery. . I'll remember all the little things we've done. Can't she see she'll always be the only one, only one. Send her back to me. 'Cause everyone can see. Without her I will be in misery. I'll remember all the little things we've done. She’ll remember and she’ll miss her only one, lonely one. Send her back to me. 'Cause everyone can see. Without her I will be in misery . In misery . My misery . Misery3"
Please Please Me,Anna,61,819,14,58.5,"Anna. You come and ask me, girl. To set you free, girl. You say he loves you more than me, so I will set you free. Go with him . Go with him . . Anna. Girl, before you go now. I want you to know, now. That I still love you so, but if he loves you more. Go with him. . All of my life. I've been searching for a girl. To love me like I love you. Oh, now, but every girl I've ever had. Breaks my heart and leaves me sad. What am I, what am I supposed to do?. Oh-oh-oh-oh-oh-oh. . Anna. Just one more thing, girl. You give back your ring to me, and I will set you free. Go with him. All of my life. I've been searching for a girl to love me like I love you. But let me tell you now. But every girl I've ever had, breaks my heart and leave me sad. What am I, what am I supposed to do?. Oh-oh-oh-oh-oh-oh. . Anna. Just one more thing, girl. You give back your ring to me, and I will set you free. Go with him . . Go with him . You can go with him, girl . Go with him7"
Please Please Me,Chains,50,819,14,58.5,"Chains, my baby's got me locked up in chains. And they ain't the kind that you can see. Whoa, these chains of love got a hold on me, yeah. Chains, well I can't break away from these chains. Can't run around, 'cause I'm not free. Whoa, oh, these chains of love won't let me be, yeah. . I wanna tell you, pretty baby. I think you're fine. I'd like to love you. But, darlin', I'm imprisoned by these. . Chains, my baby's got me locked up in chains. And they ain't the kind that you can see. Whoa, oh, these chains of love got a hold on me, yeah. . Please believe me when I tell you. Your lips are sweet. I'd like to kiss them. But I can't break away from all of these. . Chains, my baby's got me locked up in chains. And they ain't the kind that you can see. Whoa, oh, these chains of love got a hold on me, yeah. Chains, chains of love. Chains of love. Chains of love2"
Please Please Me,Boys,51,819,14,58.5,"I been told when a boy kiss a girl. Take a trip around the world. Hey, hey . Hey, hey . Hey, hey . Yeah, she say you do . . My girl says when I kiss her lips. Gets a thrill through her fingertips. Hey, hey . Hey, hey . Hey, hey . Yeah, she say you do . . Well, I talk about boys . Don't ya know I mean boys? . Well, I talk about boys, now . Aaah, boys . Well, I talk about boys, now . What a bundle of joy! . Alright, George!. . My girl says when I kiss her lips. Gets a thrill through her fingertips. Hey, hey . Hey, hey . Hey, hey . Yeah, she say you do . . Well, I talk about boys . Don't ya know I mean boys? . Well, I talk about boys, now . Aaah, boys . Well, I talk about boys, now . What a bundle of joy! . . Oh, oh, ah yeah boys . Don't ya know I mean boys? . Ooh, boys . Ah ha . Well, I talk about boys now 3"
Please Please Me,Ask Me Why,52,819,14,58.5,"I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show. That I know that I—I, I, I. Should never, never, never be blue. . Now you're mine, my happiness still makes me cry. And in time, you'll understand the reason why. If I cry, it's not because I'm sad. But you're the only love that I've ever had. . I can't believe it's happened to me. I can't conceive of any more—misery. . Ask me why, I'll say I love you. And I'm always thinking of you. . I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show. That I know that I—I, I, I. Should never, never, never be blue. Ask me why, I'll say I love you. And I'm always thinking of you. . I can't believe it's happened to me. I can't conceive of any more—misery. . Ask me why, I'll say I love you. And I'm always thinking of you. You. You3"
Please Please Me,Please Please Me,63,819,14,58.5,"Last night, I said these words to my girl. I know you never even try, girl. . Come on , come on . Come on , come on . Please please me, whoa yeah, like I please you. . You don't need me to show the way, love. Why do I always have to say, love?. . Come on , Come on . Come on , Come on . Please please me, whoa yeah, like I please you. . I don't want to sound complaining. But you know there's always rain in my heart . I do all the pleasing with you it's so hard to reason. With you, whoa yeah, why do you make me blue?. . Last night, I said these words to my girl. I know I never even try girl. Come on  Come on . Come on  Come on . Please, please me, whoa yeah, like I please you. Me, whoa yeah, like I please you. Me, whoa yeah, like I please you. Me, whoa yeah, like I please you8"
Please Please Me,Love Me Do,69,819,14,58.5,"Love, love me do. You know I love you. I'll always be true. So please, love me do. Whoa, love me do. . Love, love me do. You know I love you. I'll always be true. So please, love me do. Whoa, love me do. . Someone to love. Somebody new. Someone to love. Someone like you. . Love, love me do. You know I love you. I'll always be true. So please, love me do. Whoa, love me do. . Love, love me do. You know I love you. I'll always be true. So please, love me do. Whoa, love me do. Yeah, love me do. . Whoa, oh, love me do. Yeah, love me do. Why don't you love me do?13"
Please Please Me,P.S. I Love You,52,819,14,58.5,"As I write this letter. Send my love to you. Remember that I'll always. Be in love with you. . Treasure these few words 'til we're together. Keep all my love forever. P.S. I love you. You, you, you. . I'll be coming home again to you, love. And 'til the day I do, love. P.S. I love you. You, you, you. . As I write this letter. Send my love to you. Remember that I'll always. Be in love with you. . Treasure these few words 'til we're together. Keep all my love forever. P.S. I love you. You, you, you. As I write this letter . Send my love to you. . Remember that I'll always . Be in love with you. . I'll be coming home again to you, love. And 'til the day I do, love. P.S. I love you. You, you, you. . You, you, you. I love you3"
Please Please Me,Baby It's You,60,819,14,58.5,"Sha la la la la la la. Sha la la la la la la. Sha la la la la la la. Sha la la la la. . It's not the way you smile that touched my heart. . It's not the way you kiss that tears me apart. . Uh, oh. Many, many, many nights go by. I sit alone at home and I cry over you. What can I do?. Can't help myself. . 'Cause, baby, it's you . Baby, it's you . . . You should hear what they say about you, ""cheat,"" ""cheat"". . They say, they say you never never never ever been true. . Uh, oh. It doesn't matter what they say. I know I'm going to love you any old way. What can I do? And it's true. Don't want nobody, nobody. . 'Cause, baby, it's you . Baby, it's you . . . Uh, oh. It doesn't matter what they say. I know I'm going to love you any old way. What can I do? When it's true. Don't want nobody, nobody. . 'Cause, baby, it's you . Baby, it's you . . Don't leave me all alone . Come on home . 'Cause, baby, it's you6"
