album,track,popularity,album_popularity,album_tracks,avg_album_popularity
Please Please Me,I Saw Her Standing There,70,819,14,58.5
Please Please Me,Misery,53,819,14,58.5
Please Please Me,Anna,61,819,14,58.5
Please Please Me,Chains,50,819,14,58.5
Please Please Me,Boys,51,819,14,58.5
Please Please Me,Ask Me Why,52,819,14,58.5
Please Please Me,Please Please Me,63,819,14,58.5
Please Please Me,Love Me Do,69,819,14,58.5
Please Please Me,P.S. I Love You,52,819,14,58.5
Please Please Me,Baby It's You,60,819,14,58.5
Please Please Me,Do You Want To Know A Secret,63,819,14,58.5
Please Please Me,A Taste Of Honey,50,819,14,58.5
Please Please Me,There's A Place,50,819,14,58.5
Please Please Me,Twist And Shout,75,819,14,58.5
With The Beatles,It Won't Be Long,59,777,14,55.5
With The Beatles,All I've Got To Do,59,777,14,55.5
With The Beatles,All My Loving,69,777,14,55.5
With The Beatles,Don't Bother Me,58,777,14,55.5
With The Beatles,Little Child,47,777,14,55.5
With The Beatles,Till There Was You,63,777,14,55.5
With The Beatles,Please Mister Postman,57,777,14,55.5
With The Beatles,Roll Over Beethoven,60,777,14,55.5
With The Beatles,Hold Me Tight,50,777,14,55.5
With The Beatles,You Really Got A Hold On Me,59,777,14,55.5
With The Beatles,I Wanna Be Your Man,49,777,14,55.5
With The Beatles,Devil In Her Heart,49,777,14,55.5
With The Beatles,Not A Second Time,48,777,14,55.5
With The Beatles,Money,50,777,14,55.5
A Hard Day's Night,A Hard Day's Night,68,748,13,57.54
A Hard Day's Night,I Should Have Known Better,62,748,13,57.54
A Hard Day's Night,If I Fell,64,748,13,57.54
A Hard Day's Night,I'm Happy Just To Dance With You,60,748,13,57.54
A Hard Day's Night,And I Love Her,69,748,13,57.54
A Hard Day's Night,Tell Me Why,51,748,13,57.54
A Hard Day's Night,Can't Buy Me Love,66,748,13,57.54
A Hard Day's Night,Any Time At All,51,748,13,57.54
A Hard Day's Night,I'll Cry Instead,48,748,13,57.54
A Hard Day's Night,Things We Said Today,59,748,13,57.54
A Hard Day's Night,When I Get Home,47,748,13,57.54
A Hard Day's Night,You Can't Do That,51,748,13,57.54
A Hard Day's Night,I'll Be Back,52,748,13,57.54
Beatles For Sale,No Reply,60,720,14,51.43
Beatles For Sale,I'm A Loser,50,720,14,51.43
Beatles For Sale,Baby's In Black,49,720,14,51.43
Beatles For Sale,Rock And Roll Music,55,720,14,51.43
Beatles For Sale,I'll Follow The Sun,61,720,14,51.43
Beatles For Sale,Mr Moonlight,48,720,14,51.43
Beatles For Sale,Kansas City / HeyHeyHeyHey  Medley /,47,720,14,51.43
Beatles For Sale,Eight Days A Week,66,720,14,51.43
Beatles For Sale,Words Of Love,50,720,14,51.43
Beatles For Sale,Honey Don't,46,720,14,51.43
Beatles For Sale,Every Little Thing,48,720,14,51.43
Beatles For Sale,I Don't Want To Spoil The Party,47,720,14,51.43
Beatles For Sale,What You're Doing,47,720,14,51.43
Beatles For Sale,Everybody's Trying To Be My Baby,46,720,14,51.43
Help!,Help!,73,823,14,58.79
Help!,The Night Before,60,823,14,58.79
Help!,You've Got To Hide Your Love Away,65,823,14,58.79
Help!,I Need You,55,823,14,58.79
Help!,Another Girl,51,823,14,58.79
Help!,You're Going To Lose That Girl,60,823,14,58.79
Help!,Ticket To Ride,66,823,14,58.79
Help!,Act Naturally,51,823,14,58.79
Help!,It's Only Love,53,823,14,58.79
Help!,You Like Me Too Much,50,823,14,58.79
Help!,Tell Me What You See,49,823,14,58.79
Help!,I've Just Seen A Face,63,823,14,58.79
Help!,Yesterday,78,823,14,58.79
Help!,Dizzy Miss Lizzy,49,823,14,58.79
Rubber Soul,Drive My Car,67,865,14,61.79
Rubber Soul,Norwegian Wood,69,865,14,61.79
Rubber Soul,You Won't See Me,61,865,14,61.79
Rubber Soul,Nowhere Man,65,865,14,61.79
Rubber Soul,Think For Yourself,56,865,14,61.79
Rubber Soul,The Word,55,865,14,61.79
