,album,track,popularity
0,Please Please Me (Remastered),I Saw Her Standing There - Remastered 2009,70
1,Please Please Me (Remastered),Misery - Remastered 2009,53
2,Please Please Me (Remastered),Anna (Go To Him) - Remastered 2009,61
3,Please Please Me (Remastered),Chains - Remastered 2009,50
4,Please Please Me (Remastered),Boys - Remastered 2009,51
5,Please Please Me (Remastered),Ask Me Why - Remastered 2009,52
6,Please Please Me (Remastered),Please Please Me - Remastered 2009,63
7,Please Please Me (Remastered),Love Me Do - Remastered 2009,69
8,Please Please Me (Remastered),P.S. I Love You - Remastered 2009,52
9,Please Please Me (Remastered),Baby It's You - Remastered 2009,60
10,Please Please Me (Remastered),Do You Want To Know A Secret - Remastered 2009,63
11,Please Please Me (Remastered),A Taste Of Honey - Remastered 2009,50
12,Please Please Me (Remastered),There's A Place - Remastered 2009,50
13,Please Please Me (Remastered),Twist And Shout - Remastered 2009,75
14,With The Beatles (Remastered),It Won't Be Long - Remastered 2009,59
15,With The Beatles (Remastered),All I've Got To Do - Remastered 2009,59
16,With The Beatles (Remastered),All My Loving - Remastered 2009,69
17,With The Beatles (Remastered),Don't Bother Me - Remastered 2009,58
18,With The Beatles (Remastered),Little Child - Remastered 2009,47
19,With The Beatles (Remastered),Till There Was You - Remastered 2009,63
20,With The Beatles (Remastered),Please Mister Postman - Remastered 2009,57
21,With The Beatles (Remastered),Roll Over Beethoven - Remastered 2009,60
22,With The Beatles (Remastered),Hold Me Tight - Remastered 2009,50
23,With The Beatles (Remastered),You Really Got A Hold On Me - Remastered 2009,59
24,With The Beatles (Remastered),I Wanna Be Your Man - Remastered 2009,49
25,With The Beatles (Remastered),Devil In Her Heart - Remastered 2009,49
26,With The Beatles (Remastered),Not A Second Time - Remastered 2009,48
27,With The Beatles (Remastered),Money (That's What I Want) - Remastered 2009,50
28,A Hard Day's Night (Remastered),A Hard Day's Night - Remastered 2009,68
29,A Hard Day's Night (Remastered),I Should Have Known Better - Remastered 2009,62
30,A Hard Day's Night (Remastered),If I Fell - Remastered 2009,64
31,A Hard Day's Night (Remastered),I'm Happy Just To Dance With You - Remastered 2009,60
32,A Hard Day's Night (Remastered),And I Love Her - Remastered 2009,69
33,A Hard Day's Night (Remastered),Tell Me Why - Remastered 2009,51
34,A Hard Day's Night (Remastered),Can't Buy Me Love - Remastered 2009,66
35,A Hard Day's Night (Remastered),Any Time At All - Remastered 2009,51
36,A Hard Day's Night (Remastered),I'll Cry Instead - Remastered 2009,48
37,A Hard Day's Night (Remastered),Things We Said Today - Remastered 2009,59
38,A Hard Day's Night (Remastered),When I Get Home - Remastered 2009,47
39,A Hard Day's Night (Remastered),You Can't Do That - Remastered 2009,51
40,A Hard Day's Night (Remastered),I'll Be Back - Remastered 2009,52
41,Beatles For Sale (Remastered),No Reply - Remastered 2009,60
42,Beatles For Sale (Remastered),I'm A Loser - Remastered 2009,50
43,Beatles For Sale (Remastered),Baby's In Black - Remastered 2009,49
44,Beatles For Sale (Remastered),Rock And Roll Music - Remastered 2009,55
45,Beatles For Sale (Remastered),I'll Follow The Sun - Remastered 2009,61
46,Beatles For Sale (Remastered),Mr Moonlight - Remastered 2009,48
