,album,track,popularity,album_popularity,album_tracks,avg_album_popularity
0,À peu près,À peu près,52,588,13,45.23
1,À peu près,Même robe qu'hier,40,588,13,45.23
2,À peu près,Ce garçon est une ville,39,588,13,45.23
3,À peu près,Comme si j'y croyais,38,588,13,45.23
4,À peu près,La gare,37,588,13,45.23
5,À peu près,Adieu mon homme,49,588,13,45.23
6,À peu près,La lavande,43,588,13,45.23
7,À peu près,De là-haut,38,588,13,45.23
8,À peu près,A Lonely One,33,588,13,45.23
9,À peu près,Pauline,50,588,13,45.23
10,À peu près,Ceux qui rêvent,67,588,13,45.23
11,À peu près,On brûlera,60,588,13,45.23
12,À peu près,De quoi te plaire,42,588,13,45.23
13,À peu près (Deluxe),À peu près,31,501,18,27.83
14,À peu près (Deluxe),Même robe qu'hier,26,501,18,27.83
15,À peu près (Deluxe),Ce garçon est une ville,27,501,18,27.83
16,À peu près (Deluxe),Comme si j'y croyais,26,501,18,27.83
17,À peu près (Deluxe),La gare,25,501,18,27.83
18,À peu près (Deluxe),Adieu mon homme,32,501,18,27.83
19,À peu près (Deluxe),La lavande,28,501,18,27.83
20,À peu près (Deluxe),De là-haut,26,501,18,27.83
21,À peu près (Deluxe),A Lonely One,23,501,18,27.83
22,À peu près (Deluxe),Pauline,29,501,18,27.83
23,À peu près (Deluxe),Ceux qui rêvent,31,501,18,27.83
24,À peu près (Deluxe),On brûlera,31,501,18,27.83
25,À peu près (Deluxe),De quoi te plaire,27,501,18,27.83
26,À peu près (Deluxe),De quoi te plaire - Session live montréalaise,25,501,18,27.83
27,À peu près (Deluxe),A Lonely One - Session live montréalaise,27,501,18,27.83
28,À peu près (Deluxe),Pauline - Session live montréalaise,25,501,18,27.83
29,À peu près (Deluxe),Comme si j'y croyais - Session live montréalaise,28,501,18,27.83
30,À peu près (Deluxe),On brûlera - Session live montréalaise,34,501,18,27.83
31,les failles,anxiété,57,528,11,48.0
32,les failles,je sais pas danser,57,528,11,48.0
33,les failles,grandiose,54,528,11,48.0
34,les failles,les séquoias,50,528,11,48.0
35,les failles,les oiseaux,43,528,11,48.0
36,les failles,pourquoi la mort te fait peur,45,528,11,48.0
37,les failles,la lumière,42,528,11,48.0
38,les failles,soleil soleil,60,528,11,48.0
39,les failles,saphir,39,528,11,48.0
40,les failles,une minute,47,528,11,48.0
41,les failles,chapelle,34,528,11,48.0
42,les failles cachées,anxiété,34,548,16,34.25
43,les failles cachées,je sais pas danser,34,548,16,34.25
44,les failles cachées,grandiose,37,548,16,34.25
45,les failles cachées,les séquoias,33,548,16,34.25
46,les failles cachées,les oiseaux,36,548,16,34.25
47,les failles cachées,1996,41,548,16,34.25
48,les failles cachées,les cours d’eau,36,548,16,34.25
49,les failles cachées,les cours d’eau - Solo,30,548,16,34.25
50,les failles cachées,vide,42,548,16,34.25
51,les failles cachées,sorcières,42,548,16,34.25
52,les failles cachées,pourquoi la mort te fait peur,31,548,16,34.25
53,les failles cachées,la lumière,31,548,16,34.25
54,les failles cachées,soleil soleil,35,548,16,34.25
55,les failles cachées,saphir,29,548,16,34.25
56,les failles cachées,une minute,32,548,16,34.25
57,les failles cachées,chapelle,25,548,16,34.25
58,les failles cachées (halloween version),anxiété,35,664,19,34.95
59,les failles cachées (halloween version),je sais pas danser,37,664,19,34.95
60,les failles cachées (halloween version),grandiose,36,664,19,34.95
61,les failles cachées (halloween version),les séquoias,35,664,19,34.95
62,les failles cachées (halloween version),les oiseaux,34,664,19,34.95
63,les failles cachées (halloween version),1996,33,664,19,34.95
64,les failles cachées (halloween version),les cours d’eau,33,664,19,34.95
65,les failles cachées (halloween version),les cours d’eau - Solo,32,664,19,34.95
66,les failles cachées (halloween version),vide,32,664,19,34.95
67,les failles cachées (halloween version),sorcières,32,664,19,34.95
68,les failles cachées (halloween version),pourquoi la mort te fait peur,33,664,19,34.95
69,les failles cachées (halloween version),la lumière,32,664,19,34.95
70,les failles cachées (halloween version),soleil soleil,33,664,19,34.95
71,les failles cachées (halloween version),saphir,31,664,19,34.95
72,les failles cachées (halloween version),une minute,32,664,19,34.95
73,les failles cachées (halloween version),chapelle,28,664,19,34.95
74,les failles cachées (halloween version),magie bleue,42,664,19,34.95
75,les failles cachées (halloween version),chanson for my depressed love,50,664,19,34.95
76,les failles cachées (halloween version),comme tu dis,44,664,19,34.95
